C,gamma,kernel,accuracy,precision,recall,f1_score
0.1,1.0,linear,0.6314102564102564,0.6593484640359641,0.6096167369901547,0.6220094236576619
0.1,1.0,rbf,0.5833333333333334,0.7592815170940171,0.5044045944678857,0.4980286341045834
0.1,1.0,poly,0.75,0.75853408893315,0.7427601969057664,0.7494381583878087
0.1,0.1,linear,0.6314102564102564,0.6593484640359641,0.6096167369901547,0.6220094236576619
0.1,0.1,rbf,0.5769230769230769,0.648598419820439,0.5377320675105486,0.5619178154386727
0.1,0.1,poly,0.6057692307692307,0.7239092993037168,0.5458251289263948,0.5678345888142017
0.1,0.01,linear,0.6314102564102564,0.6593484640359641,0.6096167369901547,0.6220094236576619
0.1,0.01,rbf,0.46474358974358976,0.5829719387755102,0.3905684481950305,0.3667903047248914
0.1,0.01,poly,0.34935897435897434,0.33681672025723475,0.255,0.13868220319153915
1.0,1.0,linear,0.6474358974358975,0.6705988000823978,0.6219045944678856,0.6313941207533885
1.0,1.0,rbf,0.7948717948717948,0.7943059459024022,0.7961755743084857,0.7931627737383409
1.0,1.0,poly,0.7692307692307693,0.7853067283182624,0.7658860759493671,0.7736991835127779
1.0,0.1,linear,0.6474358974358975,0.6705988000823978,0.6219045944678856,0.6313941207533885
1.0,0.1,rbf,0.7083333333333334,0.7517103957855849,0.6844374120956399,0.7005079806878641
1.0,0.1,poly,0.6474358974358975,0.7104314815487482,0.6042627754336616,0.6235455352199382
1.0,0.01,linear,0.6474358974358975,0.6705988000823978,0.6219045944678856,0.6313941207533885
1.0,0.01,rbf,0.5833333333333334,0.6277901785714286,0.5462072198781059,0.5653556610280903
1.0,0.01,poly,0.3525641025641026,0.44803164091243564,0.2663888888888889,0.1685260329409717
10.0,1.0,linear,0.657051282051282,0.684820768662232,0.6315342240975153,0.6423072339924369
10.0,1.0,rbf,0.875,0.8829231502064148,0.8732348804500702,0.876270282928312
10.0,1.0,poly,0.8173076923076923,0.8381338874422737,0.8098570089076418,0.8196494008014872
10.0,0.1,linear,0.657051282051282,0.684820768662232,0.6315342240975153,0.6423072339924369
10.0,0.1,rbf,0.7564102564102564,0.7739882689717108,0.7516490857946554,0.754305360906344
10.0,0.1,poly,0.7019230769230769,0.7393772773988601,0.6795686826066573,0.6942250065242223
10.0,0.01,linear,0.657051282051282,0.684820768662232,0.6315342240975153,0.6423072339924369
10.0,0.01,rbf,0.6858974358974359,0.7036835748792271,0.6675199249882794,0.6766976103573411
10.0,0.01,poly,0.391025641025641,0.43662280701754386,0.32074074074074077,0.25541662168088214
